Threads,Exec 0,Exec 1,Exec 2,Exec 3,Exec 4,Exec 5,Exec 6,Exec 7,Exec 8,Exec 9
1,56.15589,54.12894,56.12302,55.5218,55.31708,55.64865,54.40723,55.40056,56.47196,56.75455
2,27.59129,27.07759,26.88887,27.01806,27.06087,27.35283,27.44551,27.57996,27.4063,27.19097
3,17.83495,17.83843,17.55545,17.75712,17.90629,18.00604,17.85106,17.88062,17.99675,17.96056
4,13.24683,13.08665,13.12122,13.27832,13.21705,13.20396,13.3324,13.36276,13.20081,13.3456
5,10.41503,10.71177,10.64331,10.47601,10.55589,10.60537,10.47509,10.58808,10.6196,10.6443
6,8.5535,8.80323,8.78748,8.67657,8.53783,8.69524,8.67108,8.69343,8.72068,8.73561
7,7.38204,7.37056,7.40603,7.46451,7.39406,7.42783,7.39396,7.38062,7.38261,7.39095
8,6.36447,6.56002,6.37577,6.35428,6.41281,6.40217,6.36861,6.35494,6.48218,6.43428
