Threads,Exec 0,Exec 1,Exec 2,Exec 3,Exec 4,Exec 5,Exec 6,Exec 7,Exec 8,Exec 9
1,64.7158,65.21128,64.73953,64.79531,64.67935,64.68465,64.69427,64.66029,64.88569,64.7099
2,33.13408,32.81293,32.88506,32.70995,33.0712,32.92352,33.03085,32.69934,33.02866,32.67746
3,40.49595,40.4585,40.4149,40.46098,40.49784,40.55031,40.53603,40.51463,40.49988,40.4008
4,27.44845,27.21293,27.45597,27.43875,27.26834,27.3451,27.28704,27.28093,27.49284,27.22875
5,27.18402,27.11974,27.0774,27.13122,27.01274,27.07804,27.01961,27.07903,27.11221,27.14181
6,20.75757,20.77389,20.68474,20.81157,20.73202,20.79684,20.76261,20.72167,20.68593,20.75927
7,19.67249,19.67188,19.65971,19.64016,19.71861,19.69955,19.70114,19.65318,19.73501,19.70659
8,16.75083,16.78174,16.77071,16.78651,16.81145,16.74864,16.74882,16.75016,16.79915,16.80264
