Threads,Exec 0,Exec 1,Exec 2,Exec 3,Exec 4,Exec 5,Exec 6,Exec 7,Exec 8,Exec 9
1,64.62736,64.67839,64.63666,64.61962,64.6403,64.65312,64.65453,64.63046,64.72165,64.70816
2,32.83472,32.69233,32.79807,32.73635,32.83295,32.82157,32.83873,32.60417,32.87441,32.87749
3,40.2882,40.34767,40.39883,40.27371,40.35982,40.36073,40.38627,40.41132,40.40303,40.34727
4,27.2599,27.19623,27.28722,27.11876,27.28726,27.16293,27.29407,27.29752,27.36482,27.31697
5,26.93793,26.9792,26.91464,26.98675,26.98278,26.94668,27.02919,27.03469,27.01199,27.05143
6,20.63402,20.64316,20.71388,20.6398,20.71072,20.70096,20.65364,20.65875,20.66586,20.67334
7,19.56035,19.57419,19.60095,19.54903,19.59881,19.58438,19.59719,19.62478,19.61138,19.59587
8,16.68858,16.63405,16.70305,16.71212,16.7054,16.70179,16.67909,16.74911,16.75054,16.69679
