Média OMP Static = [9.808757, 4.9753050000000005, 6.125578, 4.136371, 4.088702, 3.127701, 3.027129, 2.565438]
Desvio Padrão OMP Static = [0.014307739979931584, 0.02110255184674231, 0.011864857352703286, 0.013199115669030597, 0.007861630874061732, 0.008016166235246789, 0.012033024418934179, 0.0067196607057201764]
SpeedUp OMP Static = [1.0, 1.9714885821070265, 1.6012786058719684, 2.37134362464102, 2.3989904375520643, 3.1360916532622523, 3.2402837804401465, 3.823423914356925]
Eficiência OMP Static = [1.0, 0.9857442910535132, 0.5337595352906561, 0.592835906160255, 0.47979808751041286, 0.5226819422103753, 0.4628976829200209, 0.4779279892946156]

Média OMP Dynamic = [9.818728, 4.976967, 6.1244950000000005, 4.130273, 4.095747, 3.124399, 3.0286099999999996, 2.5593779999999997]
Desvio Padrão OMP Dynamic = [0.01456274836698083, 0.015134413360873185, 0.01606536734026911, 0.013113607902565272, 0.00969797579108356, 0.01151921626384943, 0.009667052865848616, 0.005535230196959657]
SpeedUp OMP Dynamic = [1.0, 1.972833655517507, 1.6031898140173189, 2.3772588397909775, 2.3972984659452843, 3.14259734432126, 3.2419915406737747, 3.836372743690069]
Eficiência OMP Dynamic = [1.0, 0.9864168277587535, 0.5343966046724397, 0.5943147099477444, 0.47945969318905685, 0.5237662240535433, 0.4631416486676821, 0.4795465929612586]

Média OMP Guided = [9.812667000000001, 4.97486, 6.127854, 4.133592, 4.09261, 3.126775, 3.024289, 2.565941]
Desvio Padrão OMP Guided = [0.01803282319056608, 0.014412573985547702, 0.010964194452854417, 0.01210745298474367, 0.008310102285772432, 0.00917122098983795, 0.009009298221528924, 0.006704982310027237]
SpeedUp OMP Guided = [1.0, 1.9724508830399252, 1.6013219309728988, 2.3738837795312167, 2.39765504164824, 3.138270902127592, 3.2446194791569196, 3.824198218119591]
Eficiência OMP Guided = [1.0, 0.9862254415199626, 0.5337739769909663, 0.5934709448828042, 0.47953100832964796, 0.5230451503545986, 0.4635170684509885, 0.47802477726494885]

Média Threads = [64.657025, 32.791079, 40.357685000000004, 27.258568000000004, 26.987527999999998, 20.669413, 19.589693, 16.702052000000002]
Desvio Padrão Threads = [0.034878233342747526, 0.08755914172083167, 0.04660169769201265, 0.07579416846521478, 0.04493886855125173, 0.02960507090572984, 0.023066776998773415, 0.0333997484355138]
SpeedUp Threads = [1.0, 1.971787052204046, 1.6020994514427673, 2.3719890567985815, 2.395811316990575, 3.1281500350300226, 3.300563464675021, 3.8712024726063596]
Eficiência Threads = [1.0, 0.985893526102023, 0.5340331504809225, 0.5929972641996454, 0.47916226339811496, 0.5213583391716704, 0.47150906638214585, 0.48390030907579495]
